6	2	2023-04-25 14:42:23.065650	[254.6231, 277.2667, 254.6128, 277.2472]
6	3	2023-04-25 14:42:31.497050	[254.5089, 276.9516, 254.5037, 276.9321]
6	4	2023-04-25 14:42:39.905608	[254.451, 276.6295, 254.4496, 276.6115]
6	5	2023-04-25 14:42:48.301814	[254.4306, 276.317, 254.4299, 276.2981]
6	6	2023-04-25 14:42:56.681589	[254.4406, 276.0084, 254.4411, 275.99]
6	7	2023-04-25 14:43:05.109619	[254.4753, 275.7127, 254.4783, 275.6956]
6	8	2023-04-25 14:43:13.554894	[254.4958, 275.4141, 254.4976, 275.3975]
6	9	2023-04-25 14:43:21.966000	[254.5335, 275.1359, 254.533, 275.1167]
7	0	2023-04-25 14:44:25.742586	[250.0901, 273.0761, 250.0729, 273.0556]
7	1	2023-04-25 14:44:34.154986	[249.8276, 272.7635, 249.8163, 272.7431]
7	2	2023-04-25 14:44:42.551086	[249.6309, 272.4192, 249.6241, 272.3997]
7	3	2023-04-25 14:44:50.963276	[249.5272, 272.0975, 249.5263, 272.081]
7	4	2023-04-25 14:44:59.359710	[249.4791, 271.9839, 249.4792, 271.9475]
7	5	2023-04-25 14:45:07.786666	[249.4543, 271.5261, 249.4534, 271.5054]
7	6	2023-04-25 14:45:16.233187	[249.4297, 271.1922, 249.4293, 271.1679]
7	7	2023-04-25 14:45:24.632698	[249.4466, 270.8992, 249.4457, 270.8817]
7	8	2023-04-25 14:45:33.054674	[249.4586, 270.624, 249.4639, 270.6138]
7	9	2023-04-25 14:45:41.434617	[249.515, 270.378, 249.5095, 270.3534]
8	0	2023-04-25 14:46:43.794050	[245.0102, 268.2939, 245.0012, 268.2862]
8	1	2023-04-25 14:46:52.223425	[244.8292, 268.0476, 244.8195, 268.0293]
8	2	2023-04-25 14:47:00.638413	[244.6516, 267.7476, 244.6414, 267.7271]
8	3	2023-04-25 14:47:09.056038	[244.5321, 267.4515, 244.5308, 267.4381]
8	4	2023-04-25 14:47:17.467234	[244.4052, 267.1003, 244.4048, 267.0847]
8	5	2023-04-25 14:47:25.878834	[244.4045, 266.8196, 244.4009, 266.7991]
8	6	2023-04-25 14:47:34.291088	[244.393, 266.5207, 244.3912, 266.4998]
8	7	2023-04-25 14:47:42.687289	[244.4156, 266.2449, 244.4149, 266.2276]
8	8	2023-04-25 14:47:51.117533	[244.404, 265.9443, 244.4063, 265.9295]
8	9	2023-04-25 14:47:59.560711	[244.4381, 265.6861, 244.4373, 265.6657]
9	0	2023-04-25 14:49:03.251136	[240.0843, 263.6334, 240.0689, 263.6161]
9	1	2023-04-25 14:49:11.686485	[239.8468, 263.3286, 239.8382, 263.313]
9	2	2023-04-25 14:49:20.113171	[239.6796, 263.0187, 239.6715, 263.0013]
9	3	2023-04-25 14:49:28.525510	[239.5717, 262.7194, 239.5688, 262.7036]
9	4	2023-04-25 14:49:36.935771	[239.4978, 262.4054, 239.4924, 262.3848]
9	5	2023-04-25 14:49:45.363645	[239.4518, 262.0958, 239.4539, 262.0816]
9	6	2023-04-25 14:49:53.785433	[239.4409, 261.7992, 239.4416, 261.7818]
9	7	2023-04-25 14:50:02.220599	[239.4431, 261.5058, 239.4478, 261.4934]
9	8	2023-04-25 14:50:10.647499	[239.467, 261.2307, 239.466, 261.2114]
9	9	2023-04-25 14:50:19.062259	[239.4248, 260.8928, 239.4295, 260.8807]
10	0	2023-04-25 14:51:22.933290	[235.08, 258.9151, 235.0672, 258.8997]
10	1	2023-04-25 14:51:31.361602	[234.8573, 258.621, 234.8482, 258.6048]
10	2	2023-04-25 14:51:39.787686	[234.6952, 258.3229, 234.6856, 258.305]
